<date:hour:url>,Total Event_count
2019-09-12:00:http://example.com/?url=168,4
2019-09-12:00:http://example.com/?url=169,2
2019-09-12:00:http://example.com/?url=170,3
2019-09-12:00:http://example.com/?url=171,2
2019-09-12:00:http://example.com/?url=172,3
2019-09-12:00:http://example.com/?url=173,2
2019-09-12:00:http://example.com/?url=174,4
2019-09-12:00:http://example.com/?url=175,3
2019-09-12:00:http://example.com/?url=176,2
2019-09-12:00:http://example.com/?url=177,4
2019-09-12:00:http://example.com/?url=178,1
2019-09-12:00:http://example.com/?url=179,3
2019-09-12:00:http://example.com/?url=180,3
2019-09-12:00:http://example.com/?url=181,3
2019-09-12:00:http://example.com/?url=182,3
2019-09-12:00:http://example.com/?url=183,2
2019-09-12:00:http://example.com/?url=184,3
2019-09-12:00:http://example.com/?url=185,2
2019-09-12:00:http://example.com/?url=186,1
2019-09-12:00:http://example.com/?url=188,3
2019-09-12:00:http://example.com/?url=192,6
2019-09-12:00:http://example.com/?url=193,2
2019-09-12:00:http://example.com/?url=194,4
2019-09-12:00:http://example.com/?url=195,3
2019-09-12:00:http://example.com/?url=197,2
2019-09-12:00:http://example.com/?url=198,1
2019-09-12:00:http://example.com/?url=199,2
2019-09-12:01:http://example.com/?url=001,2
2019-09-12:01:http://example.com/?url=002,1
2019-09-12:01:http://example.com/?url=003,2
2019-09-12:01:http://example.com/?url=004,3
2019-09-12:01:http://example.com/?url=005,3
2019-09-12:01:http://example.com/?url=006,1
2019-09-12:01:http://example.com/?url=007,2
2019-09-12:01:http://example.com/?url=008,6
2019-09-12:01:http://example.com/?url=009,8
2019-09-12:01:http://example.com/?url=010,2
2019-09-12:01:http://example.com/?url=011,1
2019-09-12:01:http://example.com/?url=012,3
2019-09-12:01:http://example.com/?url=013,2
2019-09-12:01:http://example.com/?url=014,3
2019-09-12:01:http://example.com/?url=015,3
2019-09-12:01:http://example.com/?url=016,4
2019-09-12:01:http://example.com/?url=017,1
2019-09-12:01:http://example.com/?url=018,3
2019-09-12:01:http://example.com/?url=019,1
2019-09-12:01:http://example.com/?url=020,2
2019-09-12:01:http://example.com/?url=021,4
2019-09-12:01:http://example.com/?url=022,3
2019-09-12:01:http://example.com/?url=023,8
2019-09-12:01:http://example.com/?url=024,4
2019-09-12:01:http://example.com/?url=025,2
2019-09-12:01:http://example.com/?url=026,5
2019-09-12:01:http://example.com/?url=028,3
2019-09-12:01:http://example.com/?url=029,1
2019-09-12:01:http://example.com/?url=030,1
2019-09-12:01:http://example.com/?url=031,7
2019-09-12:01:http://example.com/?url=032,2
2019-09-12:01:http://example.com/?url=033,3
2019-09-12:01:http://example.com/?url=034,2
2019-09-12:01:http://example.com/?url=035,4
2019-09-12:01:http://example.com/?url=036,1
2019-09-12:01:http://example.com/?url=037,1
2019-09-12:01:http://example.com/?url=038,2
2019-09-12:01:http://example.com/?url=039,3
2019-09-12:01:http://example.com/?url=040,4
2019-09-12:01:http://example.com/?url=041,5
2019-09-12:01:http://example.com/?url=042,4
2019-09-12:01:http://example.com/?url=043,2
2019-09-12:01:http://example.com/?url=044,5
2019-09-12:01:http://example.com/?url=045,1
2019-09-12:01:http://example.com/?url=046,2
2019-09-12:01:http://example.com/?url=047,1
2019-09-12:01:http://example.com/?url=048,2
2019-09-12:01:http://example.com/?url=049,3
2019-09-12:01:http://example.com/?url=050,2
2019-09-12:01:http://example.com/?url=051,3
2019-09-12:01:http://example.com/?url=052,6
2019-09-12:01:http://example.com/?url=053,3
2019-09-12:01:http://example.com/?url=054,4
2019-09-12:01:http://example.com/?url=055,1
2019-09-12:01:http://example.com/?url=056,6
2019-09-12:01:http://example.com/?url=057,3
2019-09-12:01:http://example.com/?url=058,2
2019-09-12:01:http://example.com/?url=059,3
2019-09-12:01:http://example.com/?url=060,2
2019-09-12:01:http://example.com/?url=061,4
2019-09-12:01:http://example.com/?url=062,6
2019-09-12:01:http://example.com/?url=063,1
2019-09-12:01:http://example.com/?url=064,3
2019-09-12:01:http://example.com/?url=065,5
2019-09-12:01:http://example.com/?url=066,1
2019-09-12:01:http://example.com/?url=067,4
2019-09-12:01:http://example.com/?url=068,2
2019-09-12:01:http://example.com/?url=069,3
2019-09-12:01:http://example.com/?url=070,5
2019-09-12:01:http://example.com/?url=072,4
2019-09-12:01:http://example.com/?url=073,2
2019-09-12:01:http://example.com/?url=074,3
2019-09-12:01:http://example.com/?url=075,4
2019-09-12:01:http://example.com/?url=076,1
2019-09-12:01:http://example.com/?url=077,2
2019-09-12:01:http://example.com/?url=078,2
2019-09-12:01:http://example.com/?url=079,1
2019-09-12:01:http://example.com/?url=080,4
2019-09-12:01:http://example.com/?url=081,1
2019-09-12:01:http://example.com/?url=083,3
2019-09-12:01:http://example.com/?url=084,6
2019-09-12:01:http://example.com/?url=085,5
2019-09-12:01:http://example.com/?url=087,5
2019-09-12:01:http://example.com/?url=088,4
2019-09-12:01:http://example.com/?url=089,3
2019-09-12:01:http://example.com/?url=090,1
2019-09-12:01:http://example.com/?url=091,2
2019-09-12:01:http://example.com/?url=092,6
2019-09-12:01:http://example.com/?url=093,2
2019-09-12:01:http://example.com/?url=094,5
2019-09-12:01:http://example.com/?url=095,2
2019-09-12:01:http://example.com/?url=096,1
2019-09-12:01:http://example.com/?url=098,1
2019-09-12:01:http://example.com/?url=099,1
2019-09-12:01:http://example.com/?url=101,1
2019-09-12:01:http://example.com/?url=102,1
2019-09-12:01:http://example.com/?url=103,4
2019-09-12:01:http://example.com/?url=104,3
2019-09-12:01:http://example.com/?url=105,2
2019-09-12:01:http://example.com/?url=106,3
2019-09-12:01:http://example.com/?url=107,2
2019-09-12:01:http://example.com/?url=108,1
2019-09-12:01:http://example.com/?url=109,3
2019-09-12:01:http://example.com/?url=110,6
2019-09-12:01:http://example.com/?url=111,4
2019-09-12:01:http://example.com/?url=112,6
2019-09-12:01:http://example.com/?url=113,2
2019-09-12:01:http://example.com/?url=114,3
2019-09-12:01:http://example.com/?url=115,1
2019-09-12:01:http://example.com/?url=116,1
2019-09-12:01:http://example.com/?url=117,3
2019-09-12:01:http://example.com/?url=118,4
2019-09-12:01:http://example.com/?url=119,3
2019-09-12:01:http://example.com/?url=120,4
2019-09-12:01:http://example.com/?url=121,8
2019-09-12:01:http://example.com/?url=123,3
2019-09-12:01:http://example.com/?url=124,1
2019-09-12:01:http://example.com/?url=125,1
2019-09-12:01:http://example.com/?url=126,5
2019-09-12:01:http://example.com/?url=127,2
2019-09-12:01:http://example.com/?url=128,2
2019-09-12:01:http://example.com/?url=129,1
2019-09-12:01:http://example.com/?url=130,3
2019-09-12:01:http://example.com/?url=133,1
2019-09-12:01:http://example.com/?url=134,3
2019-09-12:01:http://example.com/?url=136,2
2019-09-12:01:http://example.com/?url=137,1
2019-09-12:01:http://example.com/?url=138,1
2019-09-12:01:http://example.com/?url=139,5
2019-09-12:01:http://example.com/?url=140,2
2019-09-12:01:http://example.com/?url=141,2
2019-09-12:01:http://example.com/?url=142,3
2019-09-12:01:http://example.com/?url=143,2
2019-09-12:01:http://example.com/?url=144,4
2019-09-12:01:http://example.com/?url=145,4
2019-09-12:01:http://example.com/?url=146,4
2019-09-12:01:http://example.com/?url=147,4
2019-09-12:01:http://example.com/?url=148,5
2019-09-12:01:http://example.com/?url=149,1
2019-09-12:01:http://example.com/?url=150,3
2019-09-12:01:http://example.com/?url=151,3
2019-09-12:01:http://example.com/?url=152,4
2019-09-12:01:http://example.com/?url=153,3
2019-09-12:01:http://example.com/?url=154,1
2019-09-12:01:http://example.com/?url=155,4
2019-09-12:01:http://example.com/?url=156,4
2019-09-12:01:http://example.com/?url=157,3
2019-09-12:01:http://example.com/?url=158,1
2019-09-12:01:http://example.com/?url=159,4
2019-09-12:01:http://example.com/?url=160,2
2019-09-12:01:http://example.com/?url=161,2
2019-09-12:01:http://example.com/?url=162,2
2019-09-12:01:http://example.com/?url=163,4
2019-09-12:01:http://example.com/?url=164,1
2019-09-12:01:http://example.com/?url=165,3
2019-09-12:01:http://example.com/?url=166,1
2019-09-12:01:http://example.com/?url=167,1
2019-09-12:01:http://example.com/?url=168,5
2019-09-12:01:http://example.com/?url=169,2
2019-09-12:01:http://example.com/?url=170,4
2019-09-12:01:http://example.com/?url=171,4
2019-09-12:01:http://example.com/?url=172,2
2019-09-12:01:http://example.com/?url=173,2
2019-09-12:01:http://example.com/?url=174,4
2019-09-12:01:http://example.com/?url=175,4
2019-09-12:01:http://example.com/?url=176,2
2019-09-12:01:http://example.com/?url=177,3
2019-09-12:01:http://example.com/?url=178,8
2019-09-12:01:http://example.com/?url=179,5
2019-09-12:01:http://example.com/?url=180,3
2019-09-12:01:http://example.com/?url=181,3
2019-09-12:01:http://example.com/?url=182,2
2019-09-12:01:http://example.com/?url=183,6
2019-09-12:01:http://example.com/?url=184,3
2019-09-12:01:http://example.com/?url=185,4
2019-09-12:01:http://example.com/?url=186,4
2019-09-12:01:http://example.com/?url=187,2
2019-09-12:01:http://example.com/?url=188,3
2019-09-12:01:http://example.com/?url=189,4
2019-09-12:01:http://example.com/?url=191,3
2019-09-12:01:http://example.com/?url=192,2
2019-09-12:01:http://example.com/?url=193,1
2019-09-12:01:http://example.com/?url=194,5
2019-09-12:01:http://example.com/?url=195,2
2019-09-12:01:http://example.com/?url=196,2
2019-09-12:01:http://example.com/?url=197,4
2019-09-12:01:http://example.com/?url=198,2
2019-09-12:01:http://example.com/?url=199,5
2019-09-12:02:http://example.com/?url=001,3
2019-09-12:02:http://example.com/?url=002,4
2019-09-12:02:http://example.com/?url=003,1
2019-09-12:02:http://example.com/?url=004,3
2019-09-12:02:http://example.com/?url=005,5
2019-09-12:02:http://example.com/?url=006,10
2019-09-12:02:http://example.com/?url=007,1
2019-09-12:02:http://example.com/?url=008,4
2019-09-12:02:http://example.com/?url=009,3
2019-09-12:02:http://example.com/?url=010,2
2019-09-12:02:http://example.com/?url=011,1
2019-09-12:02:http://example.com/?url=012,2
2019-09-12:02:http://example.com/?url=013,2
2019-09-12:02:http://example.com/?url=014,2
2019-09-12:02:http://example.com/?url=015,2
2019-09-12:02:http://example.com/?url=017,1
2019-09-12:02:http://example.com/?url=018,2
2019-09-12:02:http://example.com/?url=019,2
2019-09-12:02:http://example.com/?url=020,1
2019-09-12:02:http://example.com/?url=021,2
2019-09-12:02:http://example.com/?url=022,3
2019-09-12:02:http://example.com/?url=023,3
2019-09-12:02:http://example.com/?url=025,4
2019-09-12:02:http://example.com/?url=026,2
2019-09-12:02:http://example.com/?url=027,1
2019-09-12:02:http://example.com/?url=028,2
2019-09-12:02:http://example.com/?url=029,6
2019-09-12:02:http://example.com/?url=030,3
2019-09-12:02:http://example.com/?url=031,2
2019-09-12:02:http://example.com/?url=032,1
2019-09-12:02:http://example.com/?url=033,4
2019-09-12:02:http://example.com/?url=034,3
2019-09-12:02:http://example.com/?url=035,2
2019-09-12:02:http://example.com/?url=037,1
2019-09-12:02:http://example.com/?url=038,1
2019-09-12:02:http://example.com/?url=039,6
2019-09-12:02:http://example.com/?url=040,5
2019-09-12:02:http://example.com/?url=041,5
2019-09-12:02:http://example.com/?url=042,4
2019-09-12:02:http://example.com/?url=043,2
2019-09-12:02:http://example.com/?url=044,1
2019-09-12:02:http://example.com/?url=045,3
2019-09-12:02:http://example.com/?url=046,3
2019-09-12:02:http://example.com/?url=047,3
2019-09-12:02:http://example.com/?url=048,4
2019-09-12:02:http://example.com/?url=049,3
2019-09-12:02:http://example.com/?url=050,6
2019-09-12:02:http://example.com/?url=051,1
2019-09-12:02:http://example.com/?url=052,3
2019-09-12:02:http://example.com/?url=053,3
2019-09-12:02:http://example.com/?url=054,5
2019-09-12:02:http://example.com/?url=056,5
2019-09-12:02:http://example.com/?url=057,2
2019-09-12:02:http://example.com/?url=058,4
2019-09-12:02:http://example.com/?url=059,3
2019-09-12:02:http://example.com/?url=060,4
2019-09-12:02:http://example.com/?url=061,2
2019-09-12:02:http://example.com/?url=062,8
2019-09-12:02:http://example.com/?url=063,4
2019-09-12:02:http://example.com/?url=064,2
2019-09-12:02:http://example.com/?url=065,1
2019-09-12:02:http://example.com/?url=066,5
2019-09-12:02:http://example.com/?url=067,3
2019-09-12:02:http://example.com/?url=068,3
2019-09-12:02:http://example.com/?url=069,2
2019-09-12:02:http://example.com/?url=070,2
2019-09-12:02:http://example.com/?url=071,3
2019-09-12:02:http://example.com/?url=072,3
2019-09-12:02:http://example.com/?url=073,5
2019-09-12:02:http://example.com/?url=074,2
2019-09-12:02:http://example.com/?url=075,4
2019-09-12:02:http://example.com/?url=076,4
2019-09-12:02:http://example.com/?url=077,3
2019-09-12:02:http://example.com/?url=078,1
2019-09-12:02:http://example.com/?url=079,1
2019-09-12:02:http://example.com/?url=081,2
2019-09-12:02:http://example.com/?url=082,2
2019-09-12:02:http://example.com/?url=083,8
2019-09-12:02:http://example.com/?url=084,1
2019-09-12:02:http://example.com/?url=085,2
2019-09-12:02:http://example.com/?url=086,4
2019-09-12:02:http://example.com/?url=087,1
2019-09-12:02:http://example.com/?url=088,1
2019-09-12:02:http://example.com/?url=089,3
2019-09-12:02:http://example.com/?url=090,4
2019-09-12:02:http://example.com/?url=091,2
2019-09-12:02:http://example.com/?url=092,7
2019-09-12:02:http://example.com/?url=093,4
2019-09-12:02:http://example.com/?url=094,3
2019-09-12:02:http://example.com/?url=095,1
2019-09-12:02:http://example.com/?url=096,2
2019-09-12:02:http://example.com/?url=097,1
2019-09-12:02:http://example.com/?url=098,3
2019-09-12:02:http://example.com/?url=100,4
2019-09-12:02:http://example.com/?url=101,2
2019-09-12:02:http://example.com/?url=102,3
2019-09-12:02:http://example.com/?url=103,2
2019-09-12:02:http://example.com/?url=104,4
2019-09-12:02:http://example.com/?url=105,4
2019-09-12:02:http://example.com/?url=106,6
2019-09-12:02:http://example.com/?url=107,3
2019-09-12:02:http://example.com/?url=108,6
2019-09-12:02:http://example.com/?url=109,2
2019-09-12:02:http://example.com/?url=110,2
2019-09-12:02:http://example.com/?url=111,1
2019-09-12:02:http://example.com/?url=112,2
2019-09-12:02:http://example.com/?url=113,8
2019-09-12:02:http://example.com/?url=114,5
2019-09-12:02:http://example.com/?url=115,3
2019-09-12:02:http://example.com/?url=116,4
2019-09-12:02:http://example.com/?url=117,6
2019-09-12:02:http://example.com/?url=118,3
2019-09-12:02:http://example.com/?url=119,2
2019-09-12:02:http://example.com/?url=120,6
2019-09-12:02:http://example.com/?url=121,6
2019-09-12:02:http://example.com/?url=122,1
2019-09-12:02:http://example.com/?url=123,2
2019-09-12:02:http://example.com/?url=124,2
2019-09-12:02:http://example.com/?url=125,3
2019-09-12:02:http://example.com/?url=126,2
2019-09-12:02:http://example.com/?url=127,3
2019-09-12:02:http://example.com/?url=131,1
2019-09-12:02:http://example.com/?url=132,4
2019-09-12:02:http://example.com/?url=133,4
2019-09-12:02:http://example.com/?url=134,3
2019-09-12:02:http://example.com/?url=135,5
2019-09-12:02:http://example.com/?url=136,4
2019-09-12:02:http://example.com/?url=137,1
2019-09-12:02:http://example.com/?url=138,2
2019-09-12:02:http://example.com/?url=139,8
2019-09-12:02:http://example.com/?url=140,2
2019-09-12:02:http://example.com/?url=141,2
2019-09-12:02:http://example.com/?url=142,2
2019-09-12:02:http://example.com/?url=143,2
2019-09-12:02:http://example.com/?url=144,1
2019-09-12:02:http://example.com/?url=145,2
2019-09-12:02:http://example.com/?url=147,2
2019-09-12:02:http://example.com/?url=148,8
2019-09-12:02:http://example.com/?url=149,3
2019-09-12:02:http://example.com/?url=150,3
2019-09-12:02:http://example.com/?url=151,8
2019-09-12:02:http://example.com/?url=152,3
2019-09-12:02:http://example.com/?url=153,5
2019-09-12:02:http://example.com/?url=154,2
2019-09-12:02:http://example.com/?url=155,1
2019-09-12:02:http://example.com/?url=156,2
2019-09-12:02:http://example.com/?url=157,2
2019-09-12:02:http://example.com/?url=159,2
2019-09-12:02:http://example.com/?url=160,2
2019-09-12:02:http://example.com/?url=161,1
2019-09-12:02:http://example.com/?url=162,5
2019-09-12:02:http://example.com/?url=163,1
2019-09-12:02:http://example.com/?url=164,2
2019-09-12:02:http://example.com/?url=165,3
2019-09-12:02:http://example.com/?url=166,1
2019-09-12:02:http://example.com/?url=167,5
2019-09-12:02:http://example.com/?url=168,2
2019-09-12:02:http://example.com/?url=169,1
2019-09-12:02:http://example.com/?url=170,1
2019-09-12:02:http://example.com/?url=171,4
2019-09-12:02:http://example.com/?url=172,1
2019-09-12:02:http://example.com/?url=173,3
2019-09-12:02:http://example.com/?url=174,1
2019-09-12:02:http://example.com/?url=175,1
2019-09-12:02:http://example.com/?url=176,1
2019-09-12:02:http://example.com/?url=177,3
2019-09-12:02:http://example.com/?url=178,2
2019-09-12:02:http://example.com/?url=180,6
2019-09-12:02:http://example.com/?url=181,2
2019-09-12:02:http://example.com/?url=182,2
2019-09-12:02:http://example.com/?url=183,2
2019-09-12:02:http://example.com/?url=185,3
2019-09-12:02:http://example.com/?url=186,1
2019-09-12:02:http://example.com/?url=187,2
2019-09-12:02:http://example.com/?url=188,3
2019-09-12:02:http://example.com/?url=189,3
2019-09-12:02:http://example.com/?url=190,4
2019-09-12:02:http://example.com/?url=191,3
2019-09-12:02:http://example.com/?url=192,4
2019-09-12:02:http://example.com/?url=193,6
2019-09-12:02:http://example.com/?url=194,3
2019-09-12:02:http://example.com/?url=195,5
2019-09-12:02:http://example.com/?url=196,4
2019-09-12:02:http://example.com/?url=197,2
2019-09-12:02:http://example.com/?url=198,2
2019-09-12:02:http://example.com/?url=199,3
2019-09-12:03:http://example.com/?url=001,2
2019-09-12:03:http://example.com/?url=002,4
2019-09-12:03:http://example.com/?url=003,1
2019-09-12:03:http://example.com/?url=004,3
2019-09-12:03:http://example.com/?url=005,3
2019-09-12:03:http://example.com/?url=006,2
2019-09-12:03:http://example.com/?url=007,4
2019-09-12:03:http://example.com/?url=008,2
2019-09-12:03:http://example.com/?url=009,5
2019-09-12:03:http://example.com/?url=010,9
2019-09-12:03:http://example.com/?url=011,2
2019-09-12:03:http://example.com/?url=012,4
2019-09-12:03:http://example.com/?url=013,3
2019-09-12:03:http://example.com/?url=014,5
2019-09-12:03:http://example.com/?url=015,3
2019-09-12:03:http://example.com/?url=016,2
2019-09-12:03:http://example.com/?url=017,1
2019-09-12:03:http://example.com/?url=018,5
2019-09-12:03:http://example.com/?url=019,1
2019-09-12:03:http://example.com/?url=020,1
2019-09-12:03:http://example.com/?url=021,3
2019-09-12:03:http://example.com/?url=022,2
2019-09-12:03:http://example.com/?url=023,2
2019-09-12:03:http://example.com/?url=024,2
2019-09-12:03:http://example.com/?url=025,5
2019-09-12:03:http://example.com/?url=026,2
2019-09-12:03:http://example.com/?url=028,4
2019-09-12:03:http://example.com/?url=029,3
2019-09-12:03:http://example.com/?url=030,1
2019-09-12:03:http://example.com/?url=031,1
2019-09-12:03:http://example.com/?url=032,5
2019-09-12:03:http://example.com/?url=033,3
2019-09-12:03:http://example.com/?url=034,1
2019-09-12:03:http://example.com/?url=035,6
2019-09-12:03:http://example.com/?url=036,3
2019-09-12:03:http://example.com/?url=037,5
2019-09-12:03:http://example.com/?url=038,3
2019-09-12:03:http://example.com/?url=039,1
2019-09-12:03:http://example.com/?url=040,4
2019-09-12:03:http://example.com/?url=041,5
2019-09-12:03:http://example.com/?url=042,2
2019-09-12:03:http://example.com/?url=043,2
2019-09-12:03:http://example.com/?url=044,2
2019-09-12:03:http://example.com/?url=045,3
2019-09-12:03:http://example.com/?url=046,1
2019-09-12:03:http://example.com/?url=047,3
2019-09-12:03:http://example.com/?url=048,1
2019-09-12:03:http://example.com/?url=049,1
2019-09-12:03:http://example.com/?url=050,1
2019-09-12:03:http://example.com/?url=051,1
2019-09-12:03:http://example.com/?url=052,4
2019-09-12:03:http://example.com/?url=053,3
2019-09-12:03:http://example.com/?url=054,1
2019-09-12:03:http://example.com/?url=055,1
2019-09-12:03:http://example.com/?url=056,1
2019-09-12:03:http://example.com/?url=057,5
2019-09-12:03:http://example.com/?url=058,5
2019-09-12:03:http://example.com/?url=059,1
2019-09-12:03:http://example.com/?url=060,2
2019-09-12:03:http://example.com/?url=061,4
2019-09-12:03:http://example.com/?url=062,2
2019-09-12:03:http://example.com/?url=063,7
2019-09-12:03:http://example.com/?url=064,1
2019-09-12:03:http://example.com/?url=065,6
2019-09-12:03:http://example.com/?url=066,1
2019-09-12:03:http://example.com/?url=068,1
2019-09-12:03:http://example.com/?url=069,2
2019-09-12:03:http://example.com/?url=072,1
2019-09-12:03:http://example.com/?url=073,2
2019-09-12:03:http://example.com/?url=074,3
2019-09-12:03:http://example.com/?url=075,3
2019-09-12:03:http://example.com/?url=076,2
2019-09-12:03:http://example.com/?url=077,2
2019-09-12:03:http://example.com/?url=078,3
2019-09-12:03:http://example.com/?url=079,3
2019-09-12:03:http://example.com/?url=080,1
2019-09-12:03:http://example.com/?url=081,3
